name,domains,web_pages,country,alpha_two_code,state-province
West Herts College,"['student.westherts.ac.uk', 'westherts.ac.uk']",['https://westherts.ac.uk'],United Kingdom,GB,
National Institute of Applied Sciences of Toulouse,['insa-toulouse.fr'],['https://insa-toulouse.fr'],France,FR,
Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),['mbzuai.ac.ae'],['https://mbzuai.ac.ae/'],United Arab Emirates,AE,Abu Dhabi
"Centro Universitário de Brasília, UNICEUB","['sempreceub.com', 'uniceub.br']",['https://www.uniceub.br'],Brazil,BR,
Kharkiv National University,"['student.karazin.ua', 'karazin.ua']",['https://karazin.ua'],Ukraine,UA,
Universidad Técnica Federico Santa María,['usm.cl'],['https://usm.cl'],Chile,CL,
IÉSEG School of Management,['ieseg.fr'],['https://ieseg.fr'],France,FR,
Sun Yat-Sen University,"['mail2.sysu.edu.cn', 'mail.sysu.edu.cn']",['https://sysu.edu.cn'],China,CN,
Royal Holloway University of London,['rhul.ac.uk'],['https://rhul.ac.uk'],United Kingdom,GB,
Hunan University,"['hnu.edu.cn', 'www-en.hnu.edu.cn']","['https://www.hnu.edu.cn', 'http://www-en.hnu.edu.cn']",China,CN,
University of Portsmouth,"['myport.ac.uk', 'myport.port.ac.uk']",['https://myport.port.ac.uk'],United Kingdom,GB,
Académie de Paris,['ac-paris.fr'],['https://www.ac-paris.fr/'],France,FR,
Académie d'Aix-Marseille,['ac-aix-marseille.fr'],['https://www.ac-aix-marseille.fr/'],France,FR,
Académie de Créteil,['ac-creteil.fr'],['https://www.ac-creteil.fr/'],France,FR,
Marywood University,['marywood.edu'],['http://www.marywood.edu'],United States,US,
University of Petroleum and Energy Studies,['upes.ac.in'],['https://www.upes.ac.in/'],India,IN,Dehradun
Ashoka University,['ashoka.edu.in'],['https://www.ashoka.edu.in'],India,IN,Haryana
Cégep de Saint-Jérôme,['cstj.qc.ca'],"['https://www.cstj.qc.ca', 'https://ccmt.cstj.qc.ca', 'https://ccml.cstj.qc.ca']",Canada,CA,Quebec
Lindenwood University,['lindenwood.edu'],['http://www.lindenwood.edu/'],United States,US,
DAV Institute of Engineering & Technology,['davietjal.org'],['http://www.davietjal.org/'],India,IN,Punjab
